date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap,com_count_(-1),com_count_(-2),com_count_(-3),com_count_(-4),sub_count_(-1),sub_count_(-2),sub_count_(-3),sub_count_(-4),sub_count_(-5),com_body_pos_count_(-1),com_body_pos_count_(-2),com_body_pos_count_(-3),com_body_pos_count_(-4),com_body_pos_count_(-5),com_body_very_pos_count_(-1),com_body_very_pos_count_(-2),com_body_very_pos_count_(-3),com_body_very_pos_count_(-4),com_body_neg_count_(-1),com_body_neg_count_(-2),com_body_neg_count_(-3),com_body_neg_count_(-4),com_body_neg_count_(-5),com_body_neg_count_(-6),com_body_neg_count_(-7),com_body_neg_count_(-8),com_body_neg_count_(-9),sub_body_pos_count_(-1),sub_body_pos_count_(-2),sub_body_pos_count_(-3),sub_body_pos_count_(-4),sub_body_very_pos_count_(-1),sub_body_very_pos_count_(-2),sub_body_very_pos_count_(-3),sub_body_very_neg_count_(-1),sub_body_very_neg_count_(-2),sub_body_very_neg_count_(-3),sub_body_very_neg_count_(-4),sub_body_very_neg_count_(-5),sub_title_pos_count_(-1),sub_title_pos_count_(-2),sub_title_pos_count_(-3),sub_title_pos_count_(-4),sub_title_pos_count_(-5),sub_title_pos_count_(-6),sub_title_pos_count_(-7),sub_title_pos_count_(-8),sub_title_pos_count_(-9),sub_title_pos_count_(-10),sub_title_pos_count_(-11),sub_title_pos_count_(-12),sub_title_neg_count_(-1),sub_title_neg_count_(-2),sub_title_neg_count_(-3),sub_title_neg_count_(-4),sub_title_very_neg_count_(-1),sub_title_very_neg_count_(-2),sub_title_very_neg_count_(-3),sub_title_very_neg_count_(-4),sub_title_very_neg_count_(-5),sub_title_very_neg_count_(-6),sub_title_very_neg_count_(-7),sub_title_very_neg_count_(-8),sub_title_very_neg_count_(-9),sub_title_very_neg_count_(-10),avg_clust_coef_(-1),avg_clust_coef_(-2),avg_clust_coef_(-3),avg_clust_coef_(-4),avg_degree_(-1),avg_degree_(-2),avg_degree_(-3),avg_degree_(-4),avg_degree_(-5),avg_degree_(-6),avg_degree_(-7),num_edges_(-1),num_edges_(-2),num_edges_(-3),num_edges_(-4),num_nodes_(-1),num_nodes_(-2),num_nodes_(-3),eth_close_(-1),eth_close_(-2),eth_close_(-3),eth_close_(-4),eth_close_(-5),eth_close_(-6),eth_close_(-7),eth_close_(-8),eth_close_(-9),y
8/20/2015,4532.0,428.0,1137.0,568.0,618.0,259.0,51.0,38.0,16.0,10.0,46.0,10.0,26.0,2.0,0.025427437,1.5687,2433.0,1551.0,1.25,1.53,1.25,1.46,2843760.0,90809000.0,5774.0,4769.0,4807.0,6288.0,526.0,526.0,408.0,496.0,305.0,1333.0,1089.0,1113.0,1314.0,886.0,613.0,542.0,543.0,603.0,801.0,641.0,710.0,875.0,512.0,478.0,478.0,537.0,552.0,69.0,59.0,59.0,68.0,49.0,46.0,39.0,12.0,10.0,8.0,8.0,3.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,53.0,38.0,40.0,29.0,37.0,32.0,34.0,19.0,35.0,7.0,4.0,3.0,6.0,2.0,3.0,3.0,2.0,6.0,2.0,0.019326664,0.021349576000000002,0.025569743,0.032264198,1.6083,1.5803,1.5313,2.0353,1.6335,1.5172,1.4864,3001.0,2519.0,2346.0,3291.0,1866.0,1594.0,1532.0,1.26,1.09,1.2,1.57,1.69,1.83,1.83,1.22,1.07,0
8/21/2015,3282.0,367.0,830.0,408.0,399.0,160.0,47.0,34.0,17.0,11.0,50.0,12.0,25.0,5.0,0.006885655,1.3864,1812.0,1307.0,1.48,1.56,1.35,1.4,2020970.0,107266000.0,4532.0,5774.0,4769.0,4807.0,428.0,526.0,526.0,408.0,496.0,1137.0,1333.0,1089.0,1113.0,1314.0,568.0,613.0,542.0,543.0,618.0,801.0,641.0,710.0,875.0,512.0,478.0,478.0,537.0,51.0,69.0,59.0,59.0,38.0,49.0,46.0,10.0,12.0,10.0,8.0,8.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,53.0,38.0,40.0,29.0,26.0,32.0,34.0,19.0,2.0,7.0,4.0,3.0,6.0,2.0,3.0,3.0,2.0,6.0,0.025427437,0.019326664,0.021349576000000002,0.025569743,1.5687,1.6083,1.5803,1.5313,2.0353,1.6335,1.5172,2433.0,3001.0,2519.0,2346.0,1551.0,1866.0,1594.0,1.46,1.26,1.09,1.2,1.57,1.69,1.83,1.83,1.22,0
8/22/2015,2664.0,216.0,626.0,281.0,314.0,132.0,32.0,22.0,8.0,4.0,25.0,7.0,9.0,1.0,0.008942536999999999,1.2464,1401.0,1124.0,1.4,1.48,1.35,1.38,948310.0,101404000.0,3282.0,4532.0,5774.0,4769.0,367.0,428.0,526.0,526.0,408.0,830.0,1137.0,1333.0,1089.0,1113.0,408.0,568.0,613.0,542.0,399.0,618.0,801.0,641.0,710.0,875.0,512.0,478.0,478.0,47.0,51.0,69.0,59.0,34.0,38.0,49.0,11.0,10.0,12.0,10.0,8.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,53.0,38.0,40.0,25.0,26.0,32.0,34.0,5.0,2.0,7.0,4.0,3.0,6.0,2.0,3.0,3.0,2.0,0.006885655,0.025427437,0.019326664,0.021349576000000002,1.3864,1.5687,1.6083,1.5803,1.5313,2.0353,1.6335,1812.0,2433.0,3001.0,2519.0,1307.0,1551.0,1866.0,1.4,1.46,1.26,1.09,1.2,1.57,1.69,1.83,1.83,0
8/23/2015,2731.0,171.0,668.0,325.0,339.0,149.0,19.0,11.0,9.0,6.0,20.0,6.0,16.0,3.0,0.013656978,1.2266,1256.0,1024.0,1.38,1.41,1.3,1.35,1589300.0,99894496.0,2664.0,3282.0,4532.0,5774.0,216.0,367.0,428.0,526.0,526.0,626.0,830.0,1137.0,1333.0,1089.0,281.0,408.0,568.0,613.0,314.0,399.0,618.0,801.0,641.0,710.0,875.0,512.0,478.0,32.0,47.0,51.0,69.0,22.0,34.0,38.0,4.0,11.0,10.0,12.0,10.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,53.0,38.0,9.0,25.0,26.0,32.0,1.0,5.0,2.0,7.0,4.0,3.0,6.0,2.0,3.0,3.0,0.008942536999999999,0.006885655,0.025427437,0.019326664,1.2464,1.3864,1.5687,1.6083,1.5803,1.5313,2.0353,1401.0,1812.0,2433.0,3001.0,1124.0,1307.0,1551.0,1.38,1.4,1.46,1.26,1.09,1.2,1.57,1.69,1.83,0
8/24/2015,4176.0,373.0,895.0,424.0,463.0,185.0,45.0,29.0,17.0,9.0,42.0,13.0,22.0,1.0,0.009294475,1.3974,2117.0,1515.0,1.35,1.36,1.23,1.23,924920.0,97791600.0,2731.0,2664.0,3282.0,4532.0,171.0,216.0,367.0,428.0,526.0,668.0,626.0,830.0,1137.0,1333.0,325.0,281.0,408.0,568.0,339.0,314.0,399.0,618.0,801.0,641.0,710.0,875.0,512.0,19.0,32.0,47.0,51.0,11.0,22.0,34.0,6.0,4.0,11.0,10.0,12.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,53.0,16.0,9.0,25.0,26.0,3.0,1.0,5.0,2.0,7.0,4.0,3.0,6.0,2.0,3.0,0.013656978,0.008942536999999999,0.006885655,0.025427437,1.2266,1.2464,1.3864,1.5687,1.6083,1.5803,1.5313,1256.0,1401.0,1812.0,2433.0,1024.0,1124.0,1307.0,1.35,1.38,1.4,1.46,1.26,1.09,1.2,1.57,1.69,0
8/25/2015,4577.0,383.0,1027.0,481.0,466.0,175.0,55.0,41.0,15.0,6.0,34.0,3.0,22.0,7.0,0.036224063,1.46,2409.0,1650.0,1.23,1.24,1.13,1.14,1307180.0,89321904.0,4176.0,2731.0,2664.0,3282.0,373.0,171.0,216.0,367.0,428.0,895.0,668.0,626.0,830.0,1137.0,424.0,325.0,281.0,408.0,463.0,339.0,314.0,399.0,618.0,801.0,641.0,710.0,875.0,45.0,19.0,32.0,47.0,29.0,11.0,22.0,9.0,6.0,4.0,11.0,10.0,42.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,48.0,22.0,16.0,9.0,25.0,1.0,3.0,1.0,5.0,2.0,7.0,4.0,3.0,6.0,2.0,0.009294475,0.013656978,0.008942536999999999,0.006885655,1.3974,1.2266,1.2464,1.3864,1.5687,1.6083,1.5803,2117.0,1256.0,1401.0,1812.0,1515.0,1024.0,1124.0,1.23,1.35,1.38,1.4,1.46,1.26,1.09,1.2,1.57,1
8/26/2015,3367.0,272.0,860.0,420.0,357.0,133.0,41.0,31.0,8.0,5.0,35.0,8.0,13.0,1.0,0.013379181,1.3759,1830.0,1330.0,1.13,1.2,1.06,1.16,1056750.0,82384400.0,4577.0,4176.0,2731.0,2664.0,383.0,373.0,171.0,216.0,367.0,1027.0,895.0,668.0,626.0,830.0,481.0,424.0,325.0,281.0,466.0,463.0,339.0,314.0,399.0,618.0,801.0,641.0,710.0,55.0,45.0,19.0,32.0,41.0,29.0,11.0,6.0,9.0,6.0,4.0,11.0,34.0,42.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,30.0,22.0,22.0,16.0,9.0,7.0,1.0,3.0,1.0,5.0,2.0,7.0,4.0,3.0,6.0,0.036224063,0.009294475,0.013656978,0.008942536999999999,1.46,1.3974,1.2266,1.2464,1.3864,1.5687,1.6083,2409.0,2117.0,1256.0,1401.0,1650.0,1515.0,1024.0,1.14,1.23,1.35,1.38,1.4,1.46,1.26,1.09,1.2,0
8/27/2015,3400.0,270.0,800.0,383.0,410.0,150.0,29.0,18.0,17.0,13.0,31.0,8.0,15.0,2.0,0.009650504,1.3787,1944.0,1410.0,1.17,1.19,1.14,1.15,686662.0,85106096.0,3367.0,4577.0,4176.0,2731.0,272.0,383.0,373.0,171.0,216.0,860.0,1027.0,895.0,668.0,626.0,420.0,481.0,424.0,325.0,357.0,466.0,463.0,339.0,314.0,399.0,618.0,801.0,641.0,41.0,55.0,45.0,19.0,31.0,41.0,29.0,5.0,6.0,9.0,6.0,4.0,35.0,34.0,42.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,33.0,13.0,22.0,22.0,16.0,1.0,7.0,1.0,3.0,1.0,5.0,2.0,7.0,4.0,3.0,0.013379181,0.036224063,0.009294475,0.013656978,1.3759,1.46,1.3974,1.2266,1.2464,1.3864,1.5687,1830.0,2409.0,2117.0,1256.0,1330.0,1650.0,1515.0,1.16,1.14,1.23,1.35,1.38,1.4,1.46,1.26,1.09,1
8/28/2015,3340.0,250.0,831.0,407.0,373.0,139.0,27.0,20.0,8.0,5.0,30.0,6.0,11.0,2.0,0.021586074,1.3454,1827.0,1358.0,1.15,1.21,1.12,1.19,721872.0,83521696.0,3400.0,3367.0,4577.0,4176.0,270.0,272.0,383.0,373.0,171.0,800.0,860.0,1027.0,895.0,668.0,383.0,420.0,481.0,424.0,410.0,357.0,466.0,463.0,339.0,314.0,399.0,618.0,801.0,29.0,41.0,55.0,45.0,18.0,31.0,41.0,13.0,5.0,6.0,9.0,6.0,31.0,35.0,34.0,42.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,47.0,15.0,13.0,22.0,22.0,2.0,1.0,7.0,1.0,3.0,1.0,5.0,2.0,7.0,4.0,0.009650504,0.013379181,0.036224063,0.009294475,1.3787,1.3759,1.46,1.3974,1.2266,1.2464,1.3864,1944.0,1830.0,2409.0,2117.0,1410.0,1330.0,1650.0,1.15,1.16,1.14,1.23,1.35,1.38,1.4,1.46,1.26,0
8/29/2015,2910.0,237.0,628.0,312.0,306.0,136.0,32.0,17.0,5.0,2.0,30.0,10.0,19.0,5.0,0.01236684,1.2283,1808.0,1472.0,1.19,1.21,1.15,1.18,375377.0,86887600.0,3340.0,3400.0,3367.0,4577.0,250.0,270.0,272.0,383.0,373.0,831.0,800.0,860.0,1027.0,895.0,407.0,383.0,420.0,481.0,373.0,410.0,357.0,466.0,463.0,339.0,314.0,399.0,618.0,27.0,29.0,41.0,55.0,20.0,18.0,31.0,5.0,13.0,5.0,6.0,9.0,30.0,31.0,35.0,34.0,42.0,20.0,25.0,50.0,46.0,44.0,37.0,38.0,11.0,15.0,13.0,22.0,2.0,2.0,1.0,7.0,1.0,3.0,1.0,5.0,2.0,7.0,0.021586074,0.009650504,0.013379181,0.036224063,1.3454,1.3787,1.3759,1.46,1.3974,1.2266,1.2464,1827.0,1944.0,1830.0,2409.0,1358.0,1410.0,1330.0,1.19,1.15,1.16,1.14,1.23,1.35,1.38,1.4,1.46,1
