date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
8/8/2015,3209,333,734,345,318,124,57,33,18,9,37,5,9,1,0.017496022,1.4040,1769,1260,2.790000,2.800000,0.714725,0.753325,674188,167911008
8/9/2015,3649,294,925,445,338,117,52,37,14,12,29,3,11,2,0.019339189,1.6086,2088,1298,0.706136,0.879810,0.629191,0.701897,532170,42637600
8/10/2015,4383,391,1098,546,497,190,77,52,20,10,40,4,15,2,0.021654440,1.5587,2430,1559,0.713989,0.729854,0.636546,0.708448,405283,43130000
8/11/2015,4311,401,1055,474,552,240,82,61,19,13,38,3,18,6,0.021664644,1.5472,2293,1482,0.708087,1.130000,0.663235,1.070000,1463100,42796500
8/12/2015,4375,402,1088,520,537,223,72,48,21,10,53,12,18,2,0.012470404,1.5336,2394,1561,1.060000,1.290000,0.883608,1.220000,2150620,64018400
8/13/2015,3843,336,997,476,478,199,44,29,13,6,48,14,23,3,0.014074905,1.4864,2237,1505,1.220000,1.970000,1.170000,1.830000,4068680,73935400
8/14/2015,3865,307,940,439,478,204,71,50,22,9,30,7,23,3,0.012328869,1.5172,2250,1483,1.810000,2.260000,1.750000,1.830000,4637030,109594000
8/15/2015,4429,305,886,390,512,181,55,34,6,3,33,6,8,2,0.023164954,1.6335,2282,1397,1.800000,1.880000,1.570000,1.690000,2554360,109160000
8/16/2015,6288,496,1314,603,875,339,68,55,18,8,47,13,35,6,0.032264198,2.0353,3291,1617,1.680000,1.700000,1.090000,1.570000,3550790,102028000
8/17/2015,4807,408,1113,543,710,325,59,39,17,8,38,11,19,3,0.025569743,1.5313,2346,1532,1.580000,1.580000,1.190000,1.200000,1942830,95819696
