feature,lags
com_count,5
sub_count,6
com_body_pos_count,6
com_body_very_pos_count,5
com_body_neg_count,10
com_body_very_neg_count,1
sub_body_pos_count,5
sub_body_very_pos_count,4
sub_body_neg_count,1
sub_body_very_neg_count,6
sub_title_pos_count,13
sub_title_very_pos_count,1
sub_title_neg_count,5
sub_title_very_neg_count,11
sub_title_non_zero_pr,11
sub_title_top_50_pr,1
sub_title_top_75_pr,13
sub_title_pr_4_bins,6
sub_title_pr_normalized,1
sub_title_pr_norm_plus_base,11
sub_title_pos_non_zero_pr,1
sub_title_pos_top_50_pr,1
sub_title_pos_top_75_pr,5
sub_title_pos_pr_4_bins,13
sub_title_pos_pr_normalized,3
sub_title_pos_pr_norm_plus_base,13
sub_title_very_pos_non_zero_pr,1
sub_title_very_pos_top_50_pr,4
sub_title_very_pos_top_75_pr,1
sub_title_very_pos_pr_4_bins,1
sub_title_very_pos_pr_normalized,4
sub_title_very_pos_pr_norm_plus_base,1
sub_title_neg_non_zero_pr,5
sub_title_neg_top_50_pr,5
sub_title_neg_top_75_pr,8
sub_title_neg_pr_4_bins,5
sub_title_neg_pr_normalized,10
sub_title_neg_pr_norm_plus_base,10
sub_title_very_neg_non_zero_pr,10
sub_title_very_neg_top_50_pr,11
sub_title_very_neg_top_75_pr,1
sub_title_very_neg_pr_4_bins,11
sub_title_very_neg_pr_normalized,11
sub_title_very_neg_pr_norm_plus_base,11
sub_title_very_pos_minus_very_neg_non_zero_pr,1
sub_title_pos_minus_neg_non_zero_pr,5
sub_title_pos_non_zero_pr_percent,13
sub_title_very_pos_non_zero_pr_percent,1
sub_title_neg_non_zero_pr_percent,5
sub_title_very_neg_non_zero_pr_percent,10
sub_body_non_zero_pr,11
sub_body_top_50_pr,1
sub_body_top_75_pr,13
sub_body_pr_4_bins,6
sub_body_pr_normalized,1
sub_body_pr_norm_plus_base,11
sub_body_pos_non_zero_pr,11
sub_body_pos_top_50_pr,9
sub_body_pos_top_75_pr,6
sub_body_pos_pr_4_bins,5
sub_body_pos_pr_normalized,5
sub_body_pos_pr_norm_plus_base,5
sub_body_very_pos_non_zero_pr,6
sub_body_very_pos_top_50_pr,7
sub_body_very_pos_top_75_pr,7
sub_body_very_pos_pr_4_bins,4
sub_body_very_pos_pr_normalized,5
sub_body_very_pos_pr_norm_plus_base,5
sub_body_neg_non_zero_pr,1
sub_body_neg_top_50_pr,7
sub_body_neg_top_75_pr,4
sub_body_neg_pr_4_bins,1
sub_body_neg_pr_normalized,6
sub_body_neg_pr_norm_plus_base,6
sub_body_very_neg_non_zero_pr,10
sub_body_very_neg_top_50_pr,7
sub_body_very_neg_top_75_pr,3
sub_body_very_neg_pr_4_bins,6
sub_body_very_neg_pr_normalized,3
sub_body_very_neg_pr_norm_plus_base,6
sub_body_very_pos_minus_very_neg_non_zero_pr,4
sub_body_pos_minus_neg_non_zero_pr,11
sub_body_pos_non_zero_pr_percent,1
sub_body_very_pos_non_zero_pr_percent,1
sub_body_neg_non_zero_pr_percent,1
sub_body_very_neg_non_zero_pr_percent,7
com_body_non_zero_pr,1
com_body_top_50_pr,2
com_body_top_75_pr,1
com_body_pr_4_bins,6
com_body_pr_normalized,5
com_body_pr_norm_plus_base,5
com_body_pos_non_zero_pr,5
com_body_pos_top_50_pr,3
com_body_pos_top_75_pr,14
com_body_pos_pr_4_bins,6
com_body_pos_pr_normalized,5
com_body_pos_pr_norm_plus_base,5
com_body_very_pos_non_zero_pr,5
com_body_very_pos_top_50_pr,3
com_body_very_pos_top_75_pr,14
com_body_very_pos_pr_4_bins,5
com_body_very_pos_pr_normalized,4
com_body_very_pos_pr_norm_plus_base,5
com_body_neg_non_zero_pr,10
com_body_neg_top_50_pr,11
com_body_neg_top_75_pr,7
com_body_neg_pr_4_bins,10
com_body_neg_pr_normalized,1
com_body_neg_pr_norm_plus_base,10
com_body_very_neg_non_zero_pr,1
com_body_very_neg_top_50_pr,2
com_body_very_neg_top_75_pr,7
com_body_very_neg_pr_4_bins,1
com_body_very_neg_pr_normalized,1
com_body_very_neg_pr_norm_plus_base,1
com_body_very_pos_minus_very_neg_non_zero_pr,4
com_body_pos_minus_neg_non_zero_pr,4
com_body_pos_non_zero_pr_percent,1
com_body_very_pos_non_zero_pr_percent,1
com_body_neg_non_zero_pr_percent,9
com_body_very_neg_non_zero_pr_percent,9
avg_clust_coef,5
avg_degree,8
num_edges,5
num_nodes,4
eth_open,1
eth_high,1
eth_low,1
eth_volume,1
eth_market_cap,1
com_body_pos_percent,1
com_body_very_pos_percent,1
com_body_neg_percent,9
com_body_very_neg_percent,9
sub_body_pos_percent,7
sub_body_very_pos_percent,4
sub_body_neg_percent,1
sub_body_very_neg_percent,6
sub_title_pos_percent,13
sub_title_very_pos_percent,1
sub_title_neg_percent,5
sub_title_very_neg_percent,7
