features,lags
com_count,1
sub_count,1
com_body_pos_count,1
com_body_very_pos_count,1
com_body_neg_count,1
com_body_very_neg_count,1
sub_body_pos_count,1
sub_body_very_pos_count,1
sub_body_neg_count,1
sub_body_very_neg_count,1
sub_title_pos_count,1
sub_title_very_pos_count,1
sub_title_neg_count,1
sub_title_very_neg_count,1
sub_title_non_zero_pr,1
sub_title_top_50_pr,13
sub_title_top_75_pr,4
sub_title_pr_4_bins,1
sub_title_pr_normalized,13
sub_title_pr_norm_plus_base,1
sub_title_pos_non_zero_pr,1
sub_title_pos_top_50_pr,8
sub_title_pos_top_75_pr,8
sub_title_pos_pr_4_bins,1
sub_title_pos_pr_normalized,13
sub_title_pos_pr_norm_plus_base,1
sub_title_very_pos_non_zero_pr,5
sub_title_very_pos_top_50_pr,1
sub_title_very_pos_top_75_pr,4
sub_title_very_pos_pr_4_bins,1
sub_title_very_pos_pr_normalized,1
sub_title_very_pos_pr_norm_plus_base,5
sub_title_neg_non_zero_pr,1
sub_title_neg_top_50_pr,1
sub_title_neg_top_75_pr,11
sub_title_neg_pr_4_bins,1
sub_title_neg_pr_normalized,1
sub_title_neg_pr_norm_plus_base,1
sub_title_very_neg_non_zero_pr,11
sub_title_very_neg_top_50_pr,1
sub_title_very_neg_top_75_pr,5
sub_title_very_neg_pr_4_bins,8
sub_title_very_neg_pr_normalized,1
sub_title_very_neg_pr_norm_plus_base,10
sub_title_very_pos_minus_very_neg_non_zero_pr,14
sub_title_pos_minus_neg_non_zero_pr,8
sub_title_pos_non_zero_pr_percent,3
sub_title_very_pos_non_zero_pr_percent,1
sub_title_neg_non_zero_pr_percent,1
sub_title_very_neg_non_zero_pr_percent,1
sub_body_non_zero_pr,1
sub_body_top_50_pr,13
sub_body_top_75_pr,4
sub_body_pr_4_bins,1
sub_body_pr_normalized,13
sub_body_pr_norm_plus_base,1
sub_body_pos_non_zero_pr,14
sub_body_pos_top_50_pr,2
sub_body_pos_top_75_pr,2
sub_body_pos_pr_4_bins,1
sub_body_pos_pr_normalized,12
sub_body_pos_pr_norm_plus_base,3
sub_body_very_pos_non_zero_pr,14
sub_body_very_pos_top_50_pr,8
sub_body_very_pos_top_75_pr,7
sub_body_very_pos_pr_4_bins,1
sub_body_very_pos_pr_normalized,12
sub_body_very_pos_pr_norm_plus_base,1
sub_body_neg_non_zero_pr,6
sub_body_neg_top_50_pr,1
sub_body_neg_top_75_pr,7
sub_body_neg_pr_4_bins,1
sub_body_neg_pr_normalized,1
sub_body_neg_pr_norm_plus_base,1
sub_body_very_neg_non_zero_pr,1
sub_body_very_neg_top_50_pr,1
sub_body_very_neg_top_75_pr,5
sub_body_very_neg_pr_4_bins,1
sub_body_very_neg_pr_normalized,1
sub_body_very_neg_pr_norm_plus_base,1
sub_body_very_pos_minus_very_neg_non_zero_pr,14
sub_body_pos_minus_neg_non_zero_pr,14
sub_body_pos_non_zero_pr_percent,1
sub_body_very_pos_non_zero_pr_percent,1
sub_body_neg_non_zero_pr_percent,2
sub_body_very_neg_non_zero_pr_percent,5
com_body_non_zero_pr,1
com_body_top_50_pr,2
com_body_top_75_pr,11
com_body_pr_4_bins,1
com_body_pr_normalized,13
com_body_pr_norm_plus_base,1
com_body_pos_non_zero_pr,1
com_body_pos_top_50_pr,13
com_body_pos_top_75_pr,13
com_body_pos_pr_4_bins,1
com_body_pos_pr_normalized,1
com_body_pos_pr_norm_plus_base,1
com_body_very_pos_non_zero_pr,1
com_body_very_pos_top_50_pr,2
com_body_very_pos_top_75_pr,11
com_body_very_pos_pr_4_bins,1
com_body_very_pos_pr_normalized,13
com_body_very_pos_pr_norm_plus_base,1
com_body_neg_non_zero_pr,1
com_body_neg_top_50_pr,2
com_body_neg_top_75_pr,14
com_body_neg_pr_4_bins,1
com_body_neg_pr_normalized,2
com_body_neg_pr_norm_plus_base,1
com_body_very_neg_non_zero_pr,1
com_body_very_neg_top_50_pr,2
com_body_very_neg_top_75_pr,11
com_body_very_neg_pr_4_bins,1
com_body_very_neg_pr_normalized,2
com_body_very_neg_pr_norm_plus_base,2
com_body_very_pos_minus_very_neg_non_zero_pr,5
com_body_pos_minus_neg_non_zero_pr,1
com_body_pos_non_zero_pr_percent,1
com_body_very_pos_non_zero_pr_percent,1
com_body_neg_non_zero_pr_percent,9
com_body_very_neg_non_zero_pr_percent,6
avg_clust_coef,2
avg_degree,3
num_edges,1
num_nodes,1
bitcoin_open,1
bitcoin_high,1
bitcoin_low,9
bitcoin_volume,13
bitcoin_market_cap,1
com_body_pos_percent,1
com_body_very_pos_percent,1
com_body_neg_percent,7
com_body_very_neg_percent,6
sub_body_pos_percent,6
sub_body_very_pos_percent,6
sub_body_neg_percent,8
sub_body_very_neg_percent,5
sub_title_pos_percent,4
sub_title_very_pos_percent,6
sub_title_neg_percent,1
sub_title_very_neg_percent,1
